nominal_diameter,thread_pitch_mm,s_min_mm,s_max_mm,e_min_mm,k_min_mm,k_max_mm,dw_min_mm,da_max_mm,c_min_mm,c_max_mm,b_l_le_125_mm,b_125_lt_l_le_200_mm,b_l_gt_200_mm
M1.6,0.35,3.02,3.20,3.41,0.975,1.225,2.27,2.0,0.10,0.25,9,,
M2,0.40,3.82,4.00,4.32,1.275,1.525,3.07,2.6,0.10,0.25,10,,
M2.5,0.45,4.82,5.00,5.45,1.575,1.825,4.07,3.1,0.10,0.25,11,,
M3,0.50,5.32,5.50,6.01,1.875,2.125,4.57,3.6,0.15,0.40,12,,
M4,0.70,6.78,7.00,7.66,2.675,2.925,5.88,4.7,0.15,0.40,14,,
M5,0.80,7.78,8.00,8.79,3.35,3.65,6.88,5.7,0.15,0.50,16,22,
M6,1.00,9.78,10.00,11.05,3.85,4.15,8.88,6.8,0.15,0.50,18,24,
M8,1.25,12.73,13.00,14.38,5.15,5.45,11.63,9.2,0.15,0.60,22,28,41
M10,1.50,15.73,16.00,17.77,6.22,6.58,14.63,11.2,0.15,0.60,26,32,45
M12,1.75,17.73,18.00,20.03,7.32,7.68,16.63,13.7,0.15,0.60,30,36,49
